,_id,rating,name,category,price,imageUrl,__v,isAvailable,quantity,noOfRating,priceId,prodId
0,633e05243c019d3208f40d7d,4.333333333333333,Charcoal Ice Cream,IceCream,120,https://i.pinimg.com/originals/84/70/a9/8470a9dea7e7fd56953d98349b0c4a50.jpg,0,True,83,3,,
1,633e13c13c019d3208f40d7f,1,Chocolate Ice Cream,IceCream,140,https://th.bing.com/th/id/R.15476e5c0d85931c50084878048170bd?rik=QId2Fn1lZGv3nQ&riu=http%3a%2f%2fthesuburbansoapbox.com%2fwp-content%2fuploads%2f2017%2f03%2fChocolate-Ice-Cream-2.jpg&ehk=GIMwMMDER8Ub6NJJkM9W750s4UZDA36PhagyAJr03eg%3d&risl=&pid=ImgRaw&r=0,0,True,39,0,,
2,633e13ee3c019d3208f40d81,1,Tawa Ice Cream,IceCream,160,https://5.imimg.com/data5/TL/PT/MY-15356824/roll-tawa-ice-cream-premix-premium-500x500.jpg,0,True,121,0,,
3,633e140b3c019d3208f40d83,4,Hara Bhara Kabab,Starter,1,https://i1.wp.com/www.cookingfromheart.com/wp-content/uploads/2017/06/Hara-Bhara-Kabab-1.jpg?resize=1024%2C683,0,True,10,5,,
4,633e14293c019d3208f40d85,1,Spring Roll,Starter,200,https://th.bing.com/th/id/OIP.pop7faQw7REoxDPcUG2CHwHaH6?pid=ImgDet&rs=1,0,True,100,0,,
5,633e143c3c019d3208f40d87,1,Manchurian,Starter,220,https://i1.wp.com/www.bharatzkitchen.com/wp-content/uploads/2017/06/IMG_7444-copy.jpg?fit=1200%2C800,0,False,9,0,,
6,633eea02ddda646c34132043,1,Paneer Butter Masala,MainCourse,230,https://th.bing.com/th/id/OIP.WqFtwGUCnb_f16alroPquwHaJ4?pid=ImgDet&rs=1,0,True,21,0,,
7,633eea44ddda646c34132045,5,Dal Makhani,MainCourse,200,https://th.bing.com/th/id/OIP.wYy4koPYgmlxaduNH4oA9QHaE2?pid=ImgDet&rs=1,0,True,54,1,,
8,633eea64ddda646c34132047,1,Jeera Rice,MainCourse,1,https://th.bing.com/th/id/OIP.wK096Ib7jgp7Xv2h2DTLZgHaFP?pid=ImgDet&rs=1,0,False,100,0,,
9,633eea87ddda646c34132049,1,Naan,MainCourse,80,https://th.bing.com/th/id/OIP.KhgnCIjk3sFIj_2YMqDYWAHaHa?pid=ImgDet&rs=1,0,True,13,0,,
10,633ff685b645a453a0624efe,1,cheese butter masala,MainCourse,200,https://images.news18.com/static-guju/uploads/2019/06/cheese-butter-masala-po.jpg,0,True,14,0,,
11,63401b618cd7314eabb3f0c8,1,Cheese Angara,MainCourse,220,https://images1.livehindustan.com/uploadimage/library/2020/08/02/16_9/16_9_1/paneer_angara_1596378201.jpg,0,True,59,0,,
12,63401be08cd7314eabb3f0ca,1,Butter Kulcha,MainCourse,60,https://www.spiceindiaonline.com/wp-content/uploads/2018/02/Vazhaipoo-Ven-Pongal-1-1.jpg,0,True,21,0,,
13,6340500232270b02de0c0390,1,Samosa,MainCourse,21,https://w7.pngwing.com/pngs/288/800/png-transparent-samosa-indian-cuisine-chaat-stuffing-pizza-samosa-taco-dish-food-recipe-cuisine-thumbnail.png,0,True,72,0,,
14,6340817ae663076584fa4e67,1,Waffle,IceCream,180,https://cafedelites.com/wp-content/uploads/2016/04/Chocolate-Cake-Waffles-15.jpg,0,True,21,0,,
15,6340846fe58acff5fcde65b9,1,PaniPuri,Starter,20,"https://assets.cntraveller.in/photos/60ba1de4e1b212c19a817ca6/4:3/w_1024,h_768,c_limit/pani-puri-home-recipe-1366x768.jpg",0,False,10,0,,
16,6340ea34aa910d82e4847ec2,1,Chaat,Starter,30,https://www.awesomecuisine.com/wp-content/uploads/2014/04/samosa-chaat.jpg,0,True,13,0,,
17,634136541fc6fc519451944a,1,Pizza,MainCourse,100,https://www.freeiconspng.com/thumbs/pizza-png/pizza-png-23.png,0,False,0,0,,
18,634d2a562a9cb91dc3186939,1,Chole,MainCourse,150,https://madhurasrecipe.com/wp-content/uploads/2020/10/Chana-Chole-Masala.jpg,0,True,18,0,,
19,635a1cad06025e10cb96ef0b,1,Pasta,Starter,60,https://www.indianhealthyrecipes.com/wp-content/uploads/2016/02/red-sauce-pasta-recipe-1-500x375.jpg,0,True,23,0,,
20,63a29b183916dedb7a6075f1,1,Icecream Sandwich,IceCream,4,https://static.toiimg.com/photo/90904470/90904470.jpg?v=3,0,True,28,0,,
21,63a59318728abd452f58b8b5,1,Coconut yoghurt cake,IceCream,6,https://img.delicious.com.au/wyAFEMUT/del/2020/09/pecan-baklava-roll-138350-1.jpg,0,True,44,0,,
22,63de7f69f0541b23e54b7035,1,Malai Chaap,Starter,30,https://www.temptingtreat.com/wp-content/uploads/2022/02/DSC_1130-copy.jpg,0,False,0,0,price_1MXo3ASFXhJBixXAVAn4TMpy,prod_NIOqMqcmyeG55b
